Rank,Ticker,Score,Verdict,Setup_Type,Regime,Trend_Note,Asset_Note,Structure,Prev_Label,Last_Label,Bars_Since_Flip,RSI,MRC_Zone,Stop_Dist_Pct,Room_To_Resist_Pct,RR_Ratio,Current_Price,Nearest_Support,Nearest_Resistance,ATH_Dist_Pct,Market_Cap_M,RET30,Held_QTY,SELL_ORDER,Earnings,s_structure,s_setup,s_fresh,s_stop,s_room,s_oversold,s_penalty
1,CEG,90,A-READY,CONTINUATION,BEAR,against (1/3),watchlist,BULLISH,HL,HH,3.0,37.99,Near_Mean,1.4,17.8,12.7,259.53,255.77,305.8,-35.21,91953.4,-2.74,,,,37,12,15,12,6,8,0
2,MSTX,89,A-READY,CONTINUATION,BEAR,confirmed (3/3),LEVERAGED ETF - decays | -99% from ATH,BULLISH,HH,HL,1.0,49.8,Near_Mean,3.7,34.1,9.2,12.95,12.47,17.37,-99.38,,47.83,,,,40,12,15,8,8,6,0
3,CRWV,88,A-READY,CONTINUATION,BULL,partial (2/3),,BULLISH,HH,HL,7.0,45.5,Near_Mean,3.4,25.5,7.5,83.35,80.52,104.59,-56.14,45970.57,-9.3,,,,40,12,12,10,8,6,0
4,NBIS,88,A-READY,CONTINUATION,BULL,partial (2/3),,BULLISH,HH,HL,7.0,46.46,Near_Mean,2.6,21.7,8.3,209.37,203.87,254.74,-26.13,53158.66,-7.25,1,NO_SELL,,40,12,12,10,8,6,0
5,MSTR,87,A-READY,CONTINUATION,BEAR,confirmed (3/3),,BULLISH,HH,HL,1.0,52.35,Near_Mean,3.8,14.9,3.9,126.18,121.38,144.92,-76.08,50129.0,29.22,296,SELL,,40,12,15,8,6,6,0
6,APH,86,A-READY,CONTINUATION,BEAR,partial (1/3),,BULLISH,HL,HH,2.0,43.05,Near_Mean,2.0,9.3,4.7,77.26,75.75,84.48,-12.26,190520.61,-9.81,,,,37,12,15,10,4,8,0
7,CORZ,86,A-READY,CONTINUATION,BULL,against (1/3),,BULLISH,HH,HL,7.0,42.69,OS,5.2,13.2,2.5,16.88,16.01,19.1,-42.03,5424.23,-26.0,,,,40,12,12,5,6,11,0
8,CLSK,84,A-READY,CONTINUATION,BULL,against (1/3),-91% from ATH,BULLISH,HH,HL,7.0,50.46,Near_Mean,3.4,9.7,2.9,12.79,12.36,14.03,-91.05,3284.69,-9.74,,,,40,12,12,10,4,6,0
9,IREN,84,A-READY,CONTINUATION,BULL,partial (2/3),,BULLISH,HH,HL,7.0,51.53,Near_Mean,3.9,15.4,3.9,42.62,40.97,49.19,-40.39,16794.78,4.33,,,,40,12,12,8,6,6,0
10,SIMO,84,A-READY,CONTINUATION,BULL,against (1/3),trade only - customer concentration,BULLISH,HH,HL,7.0,47.51,Near_Mean,4.6,18.7,4.1,245.2,233.86,291.16,-30.23,8314.18,-0.15,7,SELL,,40,12,12,8,6,6,0
11,CTVA,83,A-READY,CONTINUATION,BEAR,against (0/3),,BULLISH,HL,HH,1.0,43.2,Near_Mean,7.7,12.1,1.6,81.01,74.78,90.78,-10.69,54049.55,3.67,,,,37,12,15,5,6,8,0
12,GLXY,82,A-READY,CONTINUATION,BEAR,partial (2/3),,BULLISH,HL,HH,2.0,44.18,Near_Mean,10.1,23.6,2.3,22.27,20.01,27.52,-49.04,13123.65,0.59,,,,37,12,15,2,8,8,0
13,NOC,80,A-READY,CONTINUATION,BULL,against (0/3),,BULLISH,HL,HH,3.0,46.32,Near_Mean,2.7,1.3,0.5,529.5975,515.25,536.62,-31.46,75236.22,-3.33,,,,37,12,15,10,0,6,0
14,BWXT,78,A-READY,CONTINUATION,BEAR,against (2/3),,BULLISH,HL,HH,4.0,35.19,OS,8.8,11.8,1.3,145.66,132.89,162.91,-39.0,13345.66,-15.38,,,,37,12,12,2,4,11,0
15,NBR,78,A-READY,TURN,BEAR,confirmed (3/3),"small-cap $1,302M | -97% from ATH",MIXED,LH,HL,3.0,42.44,Near_Mean,1.1,13.1,11.9,85.72,84.81,96.91,-96.59,1302.22,2.55,,,,25,12,15,12,6,8,0
16,SMR,77,A-READY,CONTINUATION,BEAR,against (1/3),,BULLISH,HL,HH,4.0,44.32,Near_Mean,13.1,31.0,2.4,8.68,7.54,11.37,-84.92,3553.97,-7.89,,,,37,12,12,0,8,8,0
17,ARM,76,A-READY,CONTINUATION,BEAR,against (2/3),AVOID: ~101x fwd,BULLISH,HH,HL,21.0,45.23,Below_Mean,2.4,9.7,4.0,243.98,238.03,267.69,-43.3,260570.28,-13.04,,,,40,12,2,10,4,8,0
18,CIEN,76,A-READY,TURN,BULL,against (0/3),,MIXED,LH,HL,0.0,43.34,OS,6.5,23.0,3.5,340.5,318.43,418.72,-66.04,48285.8,-17.18,,,,25,12,15,5,8,11,0
19,DPRO,76,A-READY,CONTINUATION,BULL,confirmed (3/3),micro-cap $202M | -99% from ATH,BULLISH,HH,HL,28.0,54.69,Near_Mean,4.6,20.1,4.4,5.43,5.18,6.52,-98.68,201.72,23.41,,,,40,12,2,8,8,6,0
20,BE,75,A-READY,CONTINUATION,BULL,confirmed (3/3),watchlist,BULLISH,HH,HL,9.0,61.01,Near_Mean,7.8,18.5,2.4,270.02,249.05,320.0,-18.28,79528.27,18.37,29,SELL,,40,12,8,5,6,4,0
21,RIOT,74,A-READY,CONTINUATION,BULL,against (2/3),,BULLISH,HH,HL,7.0,53.37,Near_Mean,9.0,6.6,0.7,21.45,19.51,22.87,-73.04,8049.3,-0.19,,,,40,12,12,2,2,6,0
22,AMD,73,A-READY,CONTINUATION,BULL,confirmed (3/3),trade only - worse value vs NVDA/AVGO,BULLISH,HH,HL,7.0,56.08,Near_Mean,6.3,3.4,0.5,512.5,480.33,530.13,-9.72,836643.45,-1.17,5,SELL,,40,12,12,5,0,4,0
23,GLW,72,A-READY,BREAKOUT,BULL,against (2/3),watchlist,MIXED,LL,HH,7.0,42.84,Below_Mean,1.9,18.8,9.9,144.16,141.36,171.3,-44.5,123925.39,-9.67,,,,22,10,12,12,6,10,0
24,HOOD,72,A-READY,CONTINUATION,BULL,partial (2/3),,BULLISH,HL,HH,18.0,47.02,Above_Mean,3.6,19.9,5.5,104.42,100.68,125.25,-28.99,93882.17,11.67,1,NO_SELL,,37,12,5,8,6,4,0
25,TSM,72,A-READY,CONTINUATION,BULL,partial (2/3),TIER 1,BULLISH,HH,HL,25.0,52.18,Near_Mean,3.0,4.5,1.5,424.11,411.45,443.1,-11.54,2199635.36,2.7,13,SELL,,40,12,2,10,2,6,0
26,ORCL,71,A-READY,CONTINUATION,BULL,against (2/3),,BULLISH,HL,HH,33.0,48.67,Near_Mean,4.5,16.7,3.7,146.27,139.72,170.7,-56.97,442281.89,1.32,,,,37,12,2,8,6,6,0
27,WTI,71,A-READY,CONTINUATION,BULL,confirmed (3/3),small-cap $578M | -94% from ATH,BULLISH,HL,HH,27.0,49.77,Near_Mean,3.7,12.3,3.3,3.83,3.69,4.3,-93.63,578.11,18.15,,,,37,12,2,8,6,6,0
28,BMNR,70,A-READY,CONTINUATION,BEAR,partial (1/3),,BULLISH,HL,HH,1.0,50.39,OB,23.7,16.6,0.7,22.81,17.4,26.6,-85.4,13759.59,26.02,,,,37,12,15,0,6,0,0
29,VST,70,A-READY,CONTINUATION,BULL,partial (2/3),watchlist,BULLISH,HL,HH,9.0,50.09,Near_Mean,6.8,7.0,1.0,144.72,134.9,154.9,-34.01,48573.12,2.84,9,NO_SELL,,37,12,8,5,2,6,0
30,IBM,69,B-WATCH,CONTINUATION,BULL,partial (2/3),,BULLISH,HL,HH,31.0,50.28,Near_Mean,3.1,6.0,1.9,237.49,230.2,251.82,-27.81,223747.51,1.72,,,,37,12,2,10,2,6,0
